33fcf03d-b8cb-489b-a2a3-ac15828b2c3e,BANK_FEES_AND_CHARGES
6275d856-5c30-448f-8c0f-1d93a3952c5a,CHARITY
916e5f76-110c-44e5-8f6b-eaeb6e508360,EDUCATION
97a9712d-9176-4f25-9e32-f835d6d65d5e,ENTERTAINMENT
4850b299-113f-41fd-ae0c-06025c316f39,GOVERNMENT
04342c26-d140-4c31-b57a-ddb4aac5af54,GROCERIES
16303f68-3dd7-4d56-b6c9-2812cda6fbb3,HEALTH_AND_WELLBEING
d671a7b3-6191-4f27-b880-4fc2ca26e396,LOANS_AND_INVESTMENT
932e72bd-282b-43c7-8b47-962354728bb0,RENT_AND_SERVICES
6bfce29e-c587-4ac7-94d9-4fe3c8a52703,RESTAURANTS_DINING
526d2857-a913-4bd7-a193-7d67fc104bc9,RETAIL
ab11e67c-04f3-4961-aef2-a6aca1095434,SALARY_AND_REVENUE
9b74a4c1-e0ea-4759-9770-c4162715714e,TRANSFER
cb42592a-557e-430a-a937-a6ee69b42a75,TRANSPORT
bd12b4ae-563a-4d33-b129-41539904c9b1,TRAVEL
bc1c0e04-143d-4a68-afde-35db53c065cb,OTHER
